id,length,start_time,trip_time,edge_start,edge_end
0,4.34,141.8,6.6,node2,2_6
1,4.16,141.8,81.8,3_2,1_8
3,4.69,141.8,68.9,3_2,2_6
4,4.57,141.8,15.8,7_3,3_10
5,4.62,141.8,17.0,9_2,2_6
6,4.37,141.8,7.7,node2,2_6
8,4.55,141.8,25.5,10_3,3_7
9,4.67,141.8,18.5,7_3,3_10
11,5.09,141.8,83.3,3_2,1_8
12,5.15,141.8,14.5,7_3,3_4
14,4.81,141.8,71.2,3_2,2_6
15,4.33,141.8,8.9,9_2,2_6
16,5.2,141.8,23.1,10_3,3_7
17,5.1,141.8,23.4,7_3,3_10
19,4.25,141.8,11.9,9_2,2_1
20,4.41,141.8,7.4,node2,2_6
23,4.37,141.8,9.6,9_2,2_6
25,7.87,141.8,72.7,3_2,1_0
26,8.41,141.8,89.9,4_3,2_6
27,4.87,141.8,147.6,3_2,1_0
28,4.46,141.8,16.4,7_3,3_4
29,4.88,141.8,20.6,7_3,3_10
30,6.45,141.8,45.1,2_3,3_10
33,4.58,141.8,66.8,3_2,2_6
34,5.38,141.8,77.9,3_2,2_6
36,4.91,141.8,72.6,3_2,2_6
52,4.74,142.7,90.6,4_3,2_6
53,5.56,143.2,62.8,4_3,3_10
57,5.26,144.8,79.5,4_3,3_10
58,4.36,145.4,17.3,9_2,2_6
61,4.74,146.5,11.0,9_2,2_6
62,4.8,146.8,10.5,9_2,2_6
63,5.09,147.1,50.2,9_2,3_4
67,4.86,148.1,10.8,9_2,2_6
68,4.69,148.3,73.4,4_3,1_0
69,4.83,148.8,12.5,9_2,2_3
71,5.13,149.3,155.5,4_3,1_0
74,4.81,150.1,10.8,9_2,2_6
75,4.62,151.1,14.0,9_2,2_6
77,4.31,151.8,15.5,7_3,3_10
79,4.47,152.3,14.6,9_2,2_6
80,5.19,152.6,154.6,4_3,1_0
82,12.68,153.0,59.6,9_2,3_4
88,4.57,154.4,14.5,9_2,2_6
89,4.45,154.4,14.5,7_3,3_10
90,4.19,154.6,11.5,9_2,2_6
91,5.15,154.7,10.5,9_2,2_6
93,4.55,155.4,11.8,9_2,2_6
94,5.0,156.6,15.0,9_2,2_3
95,4.58,156.7,15.2,9_2,2_6
100,4.31,157.9,15.3,7_3,3_10
101,4.73,158.6,16.0,9_2,2_6
104,6.09,160.4,63.0,4_3,1_0
107,5.78,161.1,11.3,9_2,2_6
109,4.59,161.2,15.8,9_2,2_6
110,4.92,161.6,37.1,2_3,3_4
111,4.02,162.2,12.0,9_2,2_6
112,4.82,162.5,39.2,9_2,3_4
117,4.63,163.5,12.4,9_2,2_6
118,4.66,163.6,11.4,9_2,2_6
119,4.61,163.6,15.4,9_2,2_6
122,5.12,164.8,41.6,4_3,3_7
123,4.23,165.1,11.3,9_2,2_6
124,5.05,165.1,38.4,9_2,3_4
126,4.35,165.2,12.2,9_2,2_6
127,4.8,165.4,11.6,7_3,3_10
131,4.81,167.0,12.2,9_2,2_6
133,6.14,168.1,16.5,9_2,2_6
135,4.93,168.4,11.4,9_2,2_6
137,4.23,168.6,12.2,9_2,2_6
140,4.81,170.0,57.0,7_3,1_8
141,4.44,170.1,13.9,9_2,2_1
142,4.12,170.2,12.0,9_2,2_6
147,4.5,171.5,37.3,4_3,3_7
148,4.92,171.7,12.6,7_3,3_4
149,4.94,171.8,28.5,2_3,3_4
150,4.88,171.9,11.8,9_2,2_6
151,4.55,171.9,12.4,9_2,2_6
155,4.46,173.9,15.6,9_2,2_6
157,4.13,174.2,11.8,9_2,2_6
160,4.89,175.4,11.4,9_2,2_6
163,10.55,176.3,11.7,10_3,3_7
165,4.99,176.8,15.9,9_2,2_6
167,4.34,178.3,10.9,9_2,2_6
170,4.57,179.0,15.2,9_2,2_6
171,5.03,179.3,69.5,10_3,3_4
176,4.83,181.8,9.9,9_2,2_6
177,4.72,181.9,58.1,9_2,2_6
179,4.69,182.1,68.3,10_3,3_7
180,4.94,182.6,45.7,4_3,1_8
182,4.42,184.8,56.2,9_2,2_6
185,4.7,185.6,57.8,9_2,2_6
199,4.96,192.2,18.9,1_2,3_4
200,4.82,192.4,15.6,1_2,3_4
203,4.83,194.5,7.4,1_2,2_3
204,5.09,194.9,20.7,1_2,3_4
206,4.88,195.1,108.1,5_1,3_4
207,4.26,195.1,5.1,node1,1_0
208,4.92,195.1,41.7,1_2,3_7
209,4.59,195.1,45.2,5_1,1_8
210,4.8,195.1,93.8,5_1,2_3
211,5.21,195.1,26.0,1_2,3_4
212,4.96,195.1,20.9,1_2,3_4
213,5.01,195.1,106.4,5_1,3_4
214,4.19,195.1,10.4,node1,1_8
215,4.5,195.1,10.6,1_2,2_3
216,4.6,195.1,42.8,5_1,1_8
217,4.86,195.1,8.5,1_2,2_3
218,4.75,195.1,104.6,5_1,3_4
220,4.79,195.1,8.8,node1,1_0
221,12.92,195.1,40.7,1_2,3_4
222,4.61,195.1,105.9,5_1,3_4
224,4.64,195.1,47.4,5_1,1_8
233,5.0,195.3,108.0,4_3,2_6
242,4.98,198.0,105.2,4_3,2_6
248,4.3,200.6,105.2,4_3,2_6
252,5.04,202.2,11.0,2_3,3_4
256,4.26,203.7,16.0,4_3,3_7
257,5.12,203.9,10.9,2_3,3_4
259,4.47,206.0,12.0,2_3,3_4
263,5.13,206.5,16.7,4_3,3_7
275,5.1,209.6,99.0,4_3,2_6
279,4.84,211.3,80.1,9_2,1_0
280,4.94,211.3,99.4,4_3,2_6
287,4.59,212.6,36.1,7_3,3_10
290,4.88,213.1,175.8,4_3,1_0
300,4.34,215.1,27.4,9_2,2_6
311,5.01,216.3,176.7,4_3,2_6
321,4.9,219.1,176.7,4_3,2_6
335,5.3,221.3,177.2,4_3,2_6
345,5.01,223.9,28.9,10_3,3_4
356,5.2,227.4,172.7,4_3,2_6
364,4.45,229.9,15.8,9_2,2_6
368,5.05,230.3,25.5,10_3,3_4
372,5.14,232.0,15.1,9_2,2_6
375,4.12,232.5,12.3,5_1,1_8
377,9.66,232.7,6.8,9_2,node2
381,4.25,233.2,9.4,5_1,1_8
387,4.41,234.6,15.0,9_2,2_6
389,3.96,234.7,15.1,9_2,2_6
398,4.37,236.7,13.7,9_2,2_6
399,5.2,236.7,56.6,9_2,1_0
400,4.39,237.3,10.1,5_1,1_8
401,4.28,237.5,14.9,9_2,2_6
409,5.04,239.0,14.9,9_2,2_6
410,4.41,239.0,13.9,9_2,2_6
411,9.01,239.0,9.2,node2,2_6
413,4.81,239.3,68.0,5_1,3_4
414,3.93,239.5,9.9,5_1,1_8
417,4.46,239.9,12.4,7_3,3_10
418,4.88,240.0,72.8,0_1,2_6
420,4.64,240.5,13.0,9_2,2_6
423,4.88,241.9,60.0,7_3,1_8
428,5.36,242.4,15.4,9_2,2_6
429,4.75,242.5,12.8,9_2,2_6
434,4.71,243.3,68.1,5_1,3_4
436,4.12,243.6,8.8,5_1,1_8
439,4.24,244.3,13.1,10_3,3_7
444,4.93,244.9,14.2,9_2,2_6
447,5.55,245.4,9.2,5_1,1_8
454,3.97,246.6,13.4,9_2,2_6
455,4.28,246.6,15.5,9_2,2_6
457,4.89,246.8,14.2,5_1,1_0
458,5.03,247.0,59.3,7_3,1_8
462,5.29,247.4,35.9,4_3,3_7
466,4.66,248.6,14.0,9_2,2_6
467,4.53,248.6,8.6,5_1,1_8
474,4.21,250.0,8.8,5_1,1_8
475,5.02,250.1,51.1,5_1,2_3
480,5.62,251.6,152.3,4_3,2_6
481,4.59,252.3,8.7,5_1,1_8
483,4.16,252.7,9.5,5_1,1_8
485,4.47,252.9,12.0,9_2,2_6
486,4.18,253.0,12.7,9_2,2_6
487,4.08,253.0,14.2,9_2,2_6
495,4.23,254.1,9.4,5_1,1_8
497,4.78,254.2,24.1,9_2,3_4
499,4.79,254.3,55.8,5_1,3_4
501,4.36,255.0,12.5,9_2,2_6
505,4.58,256.0,9.0,5_1,1_8
510,4.32,256.7,12.2,9_2,2_6
511,4.8,256.8,40.4,9_2,1_0
514,6.58,257.4,52.5,4_3,1_8
516,4.99,258.2,55.5,5_1,3_4
524,5.23,259.3,22.9,4_3,3_10
525,4.17,259.3,8.9,5_1,1_8
526,4.56,259.4,11.9,9_2,2_6
529,5.1,259.7,226.1,4_3,1_0
540,4.61,261.4,9.6,5_1,1_8
541,4.87,261.5,25.4,4_3,3_10
545,6.42,261.8,216.4,4_3,2_6
546,4.48,261.9,15.3,9_2,2_6
547,5.71,261.9,12.7,9_2,2_6
551,4.5,262.3,65.4,5_1,1_8
552,4.38,262.6,8.5,9_2,2_6
554,5.14,263.0,9.3,5_1,1_8
557,4.54,263.3,8.6,5_1,1_8
559,5.03,263.5,48.2,4_3,1_8
561,4.77,263.7,65.7,9_2,3_7
564,4.12,264.1,12.4,9_2,2_6
572,5.35,265.5,62.9,5_1,1_8
574,4.68,265.6,14.3,9_2,2_6
577,5.09,266.0,12.5,9_2,2_6
579,4.4,266.4,10.4,9_2,2_6
583,6.77,267.0,61.3,5_1,1_8
587,4.67,267.7,62.5,5_1,1_8
588,4.63,267.8,13.4,9_2,2_6
589,4.43,267.8,10.3,9_2,2_6
591,5.11,268.1,71.1,7_3,3_10
592,5.41,268.2,31.0,9_2,1_0
599,4.28,269.4,11.0,9_2,2_6
601,5.75,269.8,5.0,9_2,node2
607,2.62,270.6,10.6,9_2,2_6
608,4.7,270.7,63.3,5_1,1_8
609,5.22,270.7,43.8,4_3,1_8
612,5.13,271.2,18.1,9_2,2_6
616,4.86,272.1,40.8,5_1,1_0
621,4.42,273.5,56.9,5_1,1_8
627,5.11,274.1,9.2,node2,2_6
640,4.65,276.7,82.7,7_3,3_4
641,5.14,277.2,59.1,5_1,1_8
653,4.56,279.7,53.4,5_1,1_8
662,3.9,281.7,48.1,9_2,2_6
667,5.39,282.8,198.2,4_3,2_6
669,4.64,283.5,46.6,9_2,2_6
672,6.29,284.2,32.4,4_3,1_8
684,5.12,287.3,197.8,4_3,2_6
687,4.53,287.7,54.6,10_3,3_7
689,4.83,288.9,8.8,2_3,3_4
690,5.02,289.1,55.0,10_3,3_7
693,5.85,289.6,26.9,4_3,3_7
696,5.28,289.9,105.0,10_3,1_0
715,4.73,292.7,53.8,10_3,3_7
719,4.85,293.3,194.1,4_3,2_6
731,4.7,295.9,52.2,10_3,3_7
735,5.36,296.8,65.6,7_3,3_4
743,5.01,298.8,100.2,4_3,1_8
750,5.06,301.3,12.4,2_3,3_4
762,4.56,303.6,189.2,7_3,1_8
763,5.26,303.7,28.7,9_2,2_6
779,4.29,306.3,38.5,7_3,3_10
788,4.81,309.3,180.9,4_3,2_6
795,5.06,311.3,81.9,4_3,1_0
810,4.8,314.4,11.9,4_3,3_7
820,4.7,316.4,81.3,0_1,3_4
827,4.68,317.8,13.6,9_2,2_6
833,4.51,318.8,12.9,9_2,2_6
840,6.05,320.5,8.6,9_2,2_3
847,5.13,321.6,168.6,4_3,2_6
853,4.98,322.1,65.6,9_2,3_4
855,4.08,322.3,15.7,5_1,1_8
856,4.45,322.4,12.6,5_1,1_8
860,4.37,323.0,13.0,9_2,2_6
862,10.73,323.2,15.3,5_1,1_8
864,4.81,323.3,80.5,5_1,2_6
866,4.75,323.6,13.2,9_2,2_6
868,4.17,323.9,26.4,10_3,3_7
871,4.93,324.0,64.6,9_2,3_4
872,4.36,324.1,12.3,9_2,2_6
873,5.33,324.3,168.5,4_3,2_6
876,4.81,324.6,24.5,7_3,3_10
878,4.18,324.9,11.9,5_1,1_8
884,4.79,325.6,13.6,9_2,2_6
885,4.96,325.7,75.2,5_1,3_4
895,4.37,326.6,14.0,5_1,1_8
898,4.88,327.1,62.0,9_2,3_4
899,5.12,327.2,55.4,4_3,3_7
901,4.38,327.4,14.3,9_2,2_6
902,4.98,327.5,38.0,7_3,3_4
903,6.24,327.7,76.7,4_3,1_8
908,4.42,328.5,12.7,5_1,1_8
910,6.07,328.6,57.1,2_3,3_4
914,5.87,329.1,14.9,9_2,2_6
915,4.89,329.1,13.3,5_1,1_8
916,4.44,329.2,14.6,9_2,2_6
918,4.65,329.4,12.7,5_1,1_8
921,5.18,330.4,60.9,9_2,3_4
923,4.67,330.5,12.3,9_2,2_6
926,4.97,330.8,75.3,4_3,1_8
927,4.64,330.8,19.8,7_3,3_10
929,4.13,331.1,14.9,9_2,2_6
933,4.83,331.9,58.7,9_2,3_4
934,4.18,332.3,10.9,5_1,1_8
937,5.22,332.7,54.2,4_3,3_7
938,4.91,332.7,14.3,9_2,2_6
940,4.48,332.9,13.1,5_1,1_8
942,3.92,333.3,15.5,9_2,2_6
947,4.12,334.1,12.6,9_2,2_6
950,4.86,334.6,74.0,4_3,1_8
952,5.2,334.8,11.9,5_1,1_8
953,4.48,335.2,42.8,9_2,1_0
954,4.55,335.2,17.4,10_3,3_7
955,4.35,335.3,10.9,5_1,1_8
957,4.08,335.9,12.7,9_2,2_6
958,4.16,336.0,12.1,5_1,1_8
960,4.61,336.5,15.3,9_2,2_6
961,4.47,336.7,20.4,9_2,2_6
964,5.16,336.9,62.6,0_1,3_4
965,4.81,337.0,66.0,5_1,3_4
966,4.21,337.1,15.3,7_3,3_10
972,4.49,338.1,11.7,5_1,1_8
973,4.77,338.2,147.5,4_3,1_8
974,5.16,338.3,18.0,9_2,2_6
975,4.75,338.6,13.3,9_2,2_6
977,4.78,338.9,12.3,9_2,2_6
978,4.89,339.2,66.1,5_1,3_4
980,4.68,339.5,15.6,10_3,3_7
981,5.72,339.5,11.1,5_1,1_8
989,4.23,341.3,11.9,5_1,1_8
991,4.58,341.4,18.2,9_2,2_6
992,4.69,341.5,11.1,9_2,2_6
993,4.95,341.5,64.9,0_1,2_6
994,4.99,341.9,66.2,5_1,3_4
996,4.34,342.1,16.5,9_2,2_6
998,4.71,342.7,15.3,10_3,3_7
999,4.38,343.1,10.4,5_1,1_8
1004,5.17,343.9,26.6,4_3,3_10
1005,4.45,344.1,11.3,5_1,1_8
1006,5.01,344.2,65.6,5_1,3_4
1007,4.73,344.7,16.0,9_2,2_6
1008,4.34,344.8,10.6,9_2,2_6
1009,4.52,345.0,13.3,9_2,2_6
1010,4.98,345.0,42.4,0_1,1_8
1011,4.97,345.2,56.6,10_3,1_8
1013,4.85,346.1,11.0,5_1,1_8
1015,4.12,346.2,9.8,5_1,1_8
1016,4.54,346.5,11.8,5_1,1_8
1020,4.51,347.1,13.3,9_2,2_6
1021,4.91,347.2,16.2,9_2,2_6
1023,4.9,347.7,148.6,4_3,2_6
1025,10.38,347.8,46.7,9_2,3_4
1026,4.71,347.9,9.8,5_1,1_8
1027,4.52,348.2,10.7,5_1,1_8
1032,5.13,349.0,138.4,4_3,1_8
1033,4.69,349.1,16.6,9_2,2_6
1035,4.49,350.0,11.1,9_2,2_6
1040,4.66,350.7,10.6,5_1,1_8
1042,4.98,350.7,59.1,0_1,3_4
1044,5.47,350.8,10.2,5_1,1_8
1049,4.99,351.6,45.0,9_2,3_4
1050,4.09,351.6,16.5,9_2,2_6
1051,4.22,351.8,11.9,9_2,2_6
1052,4.48,352.5,10.5,5_1,1_8
1056,4.97,353.2,76.6,7_3,3_10
1059,5.09,354.2,45.5,9_2,3_4
1062,4.54,354.3,10.7,5_1,1_8
1063,4.36,354.8,15.7,9_2,2_6
1066,4.58,355.3,12.4,9_2,2_6
1067,4.97,355.5,37.2,0_1,1_8
1068,4.57,355.6,64.3,5_1,1_8
1072,4.44,356.0,62.8,5_1,1_8
1076,4.16,356.8,13.7,9_2,2_6
1083,4.85,358.5,10.9,9_2,2_6
1087,4.75,359.0,13.6,9_2,2_3
1088,4.63,359.2,16.5,4_3,3_10
1090,4.41,359.5,59.4,5_1,1_8
1091,4.42,359.5,61.7,5_1,1_8
1093,5.04,359.7,64.0,5_1,1_8
1094,4.08,359.8,12.8,9_2,2_6
1102,4.31,361.7,12.8,9_2,2_6
1103,4.07,361.7,12.3,9_2,2_6
1109,5.01,362.4,69.9,7_3,3_10
1111,4.82,363.2,59.9,5_1,1_8
1114,5.16,364.3,60.6,5_1,1_8
1116,4.88,364.6,116.7,5_1,3_4
1120,5.04,365.0,56.1,9_2,2_6
1123,4.92,366.7,52.0,9_2,2_6
1125,4.66,367.1,59.4,5_1,1_8
1130,8.7,369.6,44.4,9_2,node2
1146,4.95,373.0,20.3,2_3,3_4
1150,5.2,374.6,200.6,4_3,2_6
1152,5.1,374.7,40.9,4_3,3_10
1153,5.38,374.8,61.9,7_3,3_10
1154,5.04,375.1,37.5,0_1,3_4
1167,5.23,378.9,198.7,4_3,2_6
1176,5.11,381.8,114.5,0_1,3_4
1177,4.16,382.9,195.3,4_3,2_6
1186,4.62,384.9,57.4,7_3,3_4
1187,5.2,385.0,105.0,4_3,1_8
1188,4.95,385.0,113.1,0_1,2_6
1194,5.51,388.2,30.6,4_3,3_7
1201,4.8,389.2,49.4,7_3,3_10
1209,3.68,390.6,31.7,9_2,2_6
1222,5.86,392.8,76.9,9_2,1_0
1246,5.04,397.9,268.9,4_3,1_0
1263,4.55,403.0,91.3,4_3,1_8
1281,4.82,407.1,23.4,10_3,3_4
1287,5.2,408.8,51.4,9_2,3_4
1288,4.68,409.0,19.1,9_2,2_6
1289,4.42,409.1,17.7,9_2,2_6
1291,4.76,409.3,13.7,9_2,2_6
1300,5.63,412.0,17.6,9_2,2_6
1308,4.58,413.0,18.8,9_2,2_6
1309,4.36,413.2,13.6,5_1,1_8
1310,4.56,413.2,14.4,5_1,1_8
1314,7.11,413.5,11.5,node2,2_6
1316,4.71,413.8,79.5,5_1,2_6
1319,4.7,414.4,16.1,9_2,2_6
1321,5.12,414.7,253.8,4_3,1_0
1327,5.18,415.5,74.9,4_3,1_0
1328,4.55,415.8,13.6,5_1,1_8
1329,4.93,415.8,45.1,9_2,3_4
1333,4.81,416.2,66.9,5_1,3_4
1336,7.45,416.5,6.0,9_2,node2
1338,4.44,416.5,12.8,5_1,1_8
1339,6.17,417.0,6.3,9_2,node2
1341,5.09,417.7,76.5,4_3,1_0
1344,4.38,418.1,67.7,5_1,3_4
1349,4.17,418.7,12.3,5_1,1_8
1353,4.56,419.4,13.9,9_2,2_6
1357,5.18,420.1,60.7,4_3,3_10
1358,5.86,420.5,44.6,9_2,3_4
1360,4.53,421.0,11.7,5_1,1_8
1362,4.32,421.5,14.5,9_2,2_6
1363,5.57,421.8,13.7,9_2,2_6
1365,7.36,422.1,11.4,node2,2_6
1366,10.94,422.3,13.4,5_1,1_8
1367,4.96,422.5,64.2,5_1,3_4
1370,5.55,423.0,12.1,node2,2_6
1371,4.8,423.0,15.1,9_2,2_6
1373,4.49,423.2,10.9,5_1,1_8
1376,3.87,423.2,17.3,7_3,3_10
1380,4.74,424.0,14.0,9_2,2_6
1384,4.91,424.9,42.9,9_2,3_4
1385,5.01,425.0,74.5,0_1,3_4
1388,4.62,425.4,15.3,9_2,2_6
1389,4.34,425.4,15.2,9_2,2_6
1390,4.88,425.5,12.2,5_1,1_8
1393,4.45,426.3,12.1,5_1,1_8
1395,4.6,427.0,15.8,9_2,2_6
1397,4.59,427.4,11.6,5_1,1_0
1399,4.68,427.7,41.5,9_2,3_4
1402,4.88,428.4,53.0,5_1,3_4
1404,4.5,428.6,15.8,9_2,2_6
1405,4.37,428.6,11.6,9_2,2_6
1406,4.38,428.7,11.4,5_1,1_8
1410,4.91,429.4,34.2,9_2,3_4
1411,4.63,429.4,9.0,10_3,3_7
1413,4.22,430.1,11.2,5_1,1_8
1414,4.45,430.6,11.2,5_1,1_8
1415,4.34,430.7,15.6,9_2,2_6
1416,4.36,430.7,13.5,9_2,2_6
1419,4.79,431.1,11.6,9_2,2_6
1420,4.87,431.2,14.4,7_3,3_4
1426,4.85,432.1,11.7,5_1,1_8
1428,4.34,432.8,11.3,9_2,2_6
1429,4.46,432.8,13.4,9_2,2_6
1430,4.4,432.9,14.6,9_2,2_6
1432,4.48,433.1,62.7,7_3,1_8
1433,4.35,433.2,11.6,5_1,1_8
1434,4.55,433.4,10.2,5_1,1_8
1435,4.91,433.8,32.9,9_2,3_4
1438,6.6,434.7,230.1,4_3,2_6
1440,4.4,435.3,10.9,5_1,1_8
1443,4.39,435.6,13.2,9_2,2_6
1444,4.3,436.0,10.0,5_1,1_8
1445,4.41,436.3,13.9,9_2,2_6
1446,4.21,436.8,12.8,7_3,3_10
1448,4.23,437.4,10.3,5_1,1_8
1449,4.43,437.4,9.9,5_1,1_8
1456,4.79,438.4,14.0,9_2,2_6
1458,4.79,438.9,9.7,10_3,3_7
1460,5.12,439.6,142.5,7_3,2_6
1461,4.29,439.8,9.7,5_1,1_8
1465,4.32,440.2,9.9,5_1,1_8
1466,4.44,440.4,12.5,9_2,2_6
1468,5.84,440.8,45.8,5_1,3_4
1470,4.58,441.6,11.7,9_2,2_6
1472,4.46,441.8,9.9,5_1,1_8
1473,4.67,442.0,13.4,9_2,2_6
1474,5.18,442.0,11.3,7_3,3_10
1479,4.76,442.8,33.3,5_1,2_3
1480,4.21,442.9,9.9,5_1,1_8
1481,4.69,443.1,12.6,10_3,3_4
1484,4.55,444.0,12.2,9_2,2_6
1485,4.58,444.0,12.4,9_2,2_6
1486,4.61,444.0,14.1,9_2,2_6
1489,4.49,444.4,9.6,5_1,1_8
1491,4.44,445.0,9.1,5_1,1_8
1493,4.57,445.1,80.7,10_3,3_4
1494,4.77,445.4,69.8,7_3,3_10
1497,4.43,445.8,12.7,9_2,2_6
1499,4.44,446.1,128.8,5_1,3_4
1500,5.1,446.1,53.1,0_1,3_4
1505,5.33,447.4,51.0,4_3,3_7
1512,4.48,448.9,12.2,9_2,2_6
1513,5.59,449.1,61.9,5_1,1_8
1514,4.8,449.2,69.6,7_3,3_10
1515,4.55,449.8,12.3,9_2,2_6
1517,13.3,450.2,80.4,10_3,3_7
1520,4.04,451.3,12.4,9_2,2_6
1527,5.39,453.3,67.5,7_3,3_10
1529,6.29,453.6,59.0,7_3,3_4
1532,4.53,454.0,193.6,9_2,1_0
1545,5.0,457.4,127.6,5_1,2_6
1547,4.99,457.5,122.8,7_3,1_8
1557,5.1,460.1,206.1,4_3,2_6
1558,4.81,460.1,51.4,9_2,2_6
1563,4.88,461.4,53.1,9_2,2_6
1580,4.79,464.5,37.2,0_1,3_4
1592,5.18,468.8,35.3,4_3,3_7
1597,4.99,469.5,34.9,0_1,3_4
1606,5.51,472.0,34.8,4_3,3_7
1616,5.21,475.0,16.5,4_3,3_10
1619,4.88,476.3,11.8,2_3,3_4
1625,4.59,478.5,57.4,10_3,3_4
1644,4.87,483.0,35.6,9_2,2_6
1663,5.45,487.7,89.3,4_3,1_8
1666,5.12,488.1,27.3,9_2,2_6
1680,5.11,493.4,22.6,7_3,3_4
1683,4.83,493.6,45.0,10_3,3_7
1684,5.1,493.6,175.6,4_3,2_6
1709,4.84,499.1,59.1,9_2,3_4
1712,5.45,500.4,10.5,5_1,1_8
